"arquivo";"tabela";"titulo";"url_api";"filtros";"data_hora_download";"linhas";"colunas";"periodos";"dimensoes";"separador";"codificacao";"sha256";"status";"observacoes"
"dados_originais/t9509_cempre_economia_emprego_2022_ce_br.csv";"9509";"Unidades locais, empresas e outras organizações atuantes, pessoal ocupado, salários e salário médio";"https://servicodados.ibge.gov.br/api/v3/agregados/9509/periodos/2022/variaveis/706%7C367%7C707%7C708%7C662%7C10143?localidades=N1%5B1%5D%7CN3%5B23%5D%7CN6%5BN3%5B23%5D%5D";"ano=2022; variáveis=706|367|707|708|662|10143; localidades=Brasil|Ceará|municípios do Ceará";"2026-08-17T13:57:44.398Z";"1116";"10";"2022";"186 territórios; 184 municípios; 6 variáveis";"ponto e vírgula (;)";"UTF-8 com BOM";"6dc21dd61167d04be5f73e1355f1829e4f9eeade89e7b727ee94ef21a24c9bd3";"ok_http_200_validado";"Resposta transposta de JSON para CSV sem limpeza de valores"
"dados_originais/t5938_pib_estrutura_economica_2021_ce_br.csv";"5938";"PIB, valor adicionado bruto total e por atividade econômica e respectivas participações";"https://servicodados.ibge.gov.br/api/v3/agregados/5938/periodos/2021/variaveis/37%7C498%7C513%7C516%7C517%7C520%7C6575%7C6574%7C525%7C528?localidades=N1%5B1%5D%7CN3%5B23%5D%7CN6%5BN3%5B23%5D%5D";"ano=2021; variáveis=37|498|513|516|517|520|6575|6574|525|528; localidades=Brasil|Ceará|municípios do Ceará";"2026-08-17T14:11:02.702Z";"1860";"10";"2021";"186 territórios; 184 municípios; 10 variáveis";"ponto e vírgula (;)";"UTF-8 com BOM";"3639b7922f07cbd72ab289da82293076a20d6fdd2880407e6e562ed7abfd3d23";"ok_http_200_validado";"2021 é o último ano completo para as 10 variáveis; o PIB total de 2022 está em arquivo separado"
"dados_originais/t5938_pib_2022_ce_br.csv";"5938";"Produto Interno Bruto a preços correntes";"https://servicodados.ibge.gov.br/api/v3/agregados/5938/periodos/2022/variaveis/37?localidades=N1%5B1%5D%7CN3%5B23%5D%7CN6%5BN3%5B23%5D%5D";"ano=2022; variável=37; localidades=Brasil|Ceará|municípios do Ceará";"2026-08-18T03:43:09.319Z";"186";"10";"2022";"186 territórios; 184 municípios; 1 variável";"ponto e vírgula (;)";"UTF-8 com BOM";"2e06a7232138832bb1a483b72784ab51edb7401253797f170ac52da204e271d4";"ok_http_200_validado";"PIB total de 2022 em arquivo separado; permite PIB per capita com a população do Censo 2022; valores correntes e sem símbolos especiais"
"dados_originais/t4709_populacao_censo_2022_ce_br.csv";"4709";"População residente, variação absoluta e taxa de crescimento geométrico";"https://servicodados.ibge.gov.br/api/v3/agregados/4709/periodos/2022/variaveis/93%7C5936%7C10605?localidades=N1%5B1%5D%7CN3%5B23%5D%7CN6%5BN3%5B23%5D%5D";"ano=2022; variáveis=93|5936|10605; localidades=Brasil|Ceará|municípios do Ceará";"2026-08-17T13:57:46.450Z";"558";"10";"2022";"186 territórios; 184 municípios; 3 variáveis";"ponto e vírgula (;)";"UTF-8 com BOM";"f784b2df7ce72bbd0a2cb1975c4869b77190c024db56363a88d143ec0102b167";"ok_http_200_validado";"Resposta transposta de JSON para CSV sem limpeza de valores"
